Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Refugee population by country or territory of asylum,SM.POP.REFG,Uzbekistan,UZB,..,38350,1054,821,555,311,214,176,141,125,107,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vanuatu,VUT,..,..,1,3,4,4,..,2,2,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Venezuela, RB",VEN,1750,132,200907,201161,201313,201547,202022,203644,204340,173600,173754,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vietnam,VNM,21150,15945,2357,2357,2357,1928,990,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,West Bank and Gaza,WBG,910637,1428891,1793901,1836123,1885188,2015855,1895043,1944544,1994493,2051098,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Yemen, Rep.",YEM,2938,60545,117363,140169,170854,190092,214740,237182,241288,257645,267173,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zambia,ZMB,138049,250940,112931,83485,56785,47857,45632,25653,23594,25578,26447,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zimbabwe,ZWE,190950,4127,3981,3468,3995,4435,4561,4356,6389,6079,6950,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/01/2017,,,,,,,,,,,,,,,
