Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Refugee population by country or territory of asylum,SM.POP.REFG,Cote d'Ivoire,CIV,272281,120691,24647,24811,24604,26218,24221,3980,2980,1925,1980,..
Refugee population by country or territory of asylum,SM.POP.REFG,Croatia,HRV,..,22437,1642,1597,1238,936,824,724,684,726,522,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cuba,CUB,3988,954,615,525,454,411,384,371,384,280,303,..
Refugee population by country or territory of asylum,SM.POP.REFG,Curacao,CUW,..,..,..,..,..,7,6,14,15,37,48,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cyprus,CYP,33,76,1194,1465,2888,3394,3503,3631,3883,5126,7067,..
Refugee population by country or territory of asylum,SM.POP.REFG,Czech Republic,CZE,..,1186,2037,2110,2323,2449,2449,2805,3184,3137,3644,..
Refugee population by country or territory of asylum,SM.POP.REFG,Denmark,DNK,32906,71035,26788,23401,20355,17922,13399,11814,13170,17785,27326,..
Refugee population by country or territory of asylum,SM.POP.REFG,Djibouti,DJI,77606,23243,6651,9228,12111,15104,20340,19139,20015,20530,19365,..
Refugee population by country or territory of asylum,SM.POP.REFG,Dominica,DMA,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Dominican Republic,DOM,1966,510,..,..,..,599,595,758,721,608,615,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ecuador,ECU,510,1602,264907,101398,116557,121249,123436,123824,123133,122161,121535,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Egypt, Arab Rep.",EGY,1991,6840,97556,97861,94406,95056,95087,109933,230086,236090,212500,..
Refugee population by country or territory of asylum,SM.POP.REFG,El Salvador,SLV,20300,59,39,32,30,38,38,45,44,35,48,..
Refugee population by country or territory of asylum,SM.POP.REFG,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Eritrea,ERI,..,1984,5042,4862,4751,4809,4719,3600,3166,2898,2549,..
Refugee population by country or territory of asylum,SM.POP.REFG,Estonia,EST,..,4,18,22,24,39,50,63,70,90,168,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ethiopia,ETH,773764,197959,85183,83583,121886,154295,288844,376393,433936,659524,736086,..
Refugee population by country or territory of asylum,SM.POP.REFG,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Fiji,FJI,..,..,..,..,2,1,7,6,5,13,12,..
Refugee population by country or territory of asylum,SM.POP.REFG,Finland,FIN,2348,13276,6204,6617,7447,8724,9175,9919,11252,11798,12703,..
Refugee population by country or territory of asylum,SM.POP.REFG,France,FRA,193000,132508,151789,171206,196364,200687,210207,217865,232487,252264,273126,..
Refugee population by country or territory of asylum,SM.POP.REFG,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Gabon,GAB,417,17982,8826,9001,8845,9015,1773,1663,1594,1013,943,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Gambia, The",GMB,78,12016,14895,14836,10118,8378,9528,9853,9563,11608,7854,..
Refugee population by country or territory of asylum,SM.POP.REFG,Georgia,GEO,..,7620,1047,996,870,639,462,469,847,857,1979,..
Refugee population by country or territory of asylum,SM.POP.REFG,Germany,DEU,816000,906000,578879,582735,593799,594269,571684,589737,187567,216973,316115,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ghana,GHA,8123,12720,34958,18206,13658,13828,13588,16016,18681,18450,17406,..
Refugee population by country or territory of asylum,SM.POP.REFG,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Greece,GRC,8488,6653,2228,2164,1695,1444,1573,2100,3485,10304,30239,..
Refugee population by country or territory of asylum,SM.POP.REFG,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Grenada,GRD,..,..,..,..,..,..,3,..,..,..,1,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guatemala,GTM,223377,720,379,130,131,138,147,159,160,164,226,..
